2021-12-14 00:12:956 INFO  ManageDriver :29 - Launching Chrome Browser
2021-12-14 00:12:742 INFO  AccountPage :45 - click on bank manager login :[[ChromeDriver: chrome on WINDOWS (828900f6f5b50419372c7e0fd6d18285)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-14 00:12:817 INFO  AccountPage :26 - click on add customer tab :[[ChromeDriver: chrome on WINDOWS (828900f6f5b50419372c7e0fd6d18285)] -> xpath: //button[@ng-class='btnClass1']]
2021-12-14 00:12:928 INFO  AccountPage :42 - fill first name :[[ChromeDriver: chrome on WINDOWS (828900f6f5b50419372c7e0fd6d18285)] -> xpath: //input[@placeholder='First Name']]
2021-12-14 00:12:20 INFO  AccountPage :47 - fill last name :[[ChromeDriver: chrome on WINDOWS (828900f6f5b50419372c7e0fd6d18285)] -> xpath: //input[@placeholder='Last Name']]
2021-12-14 00:12:123 INFO  AccountPage :52 - fill post code :[[ChromeDriver: chrome on WINDOWS (828900f6f5b50419372c7e0fd6d18285)] -> xpath: //input[@placeholder='Post Code']]
2021-12-14 00:12:201 INFO  AccountPage :58 - add customer button :[[ChromeDriver: chrome on WINDOWS (828900f6f5b50419372c7e0fd6d18285)] -> xpath: //button[@class='btn btn-default']]
2021-12-14 00:12:226 INFO  AccountPage :63 - verify pop up window and click :
2021-12-14 00:12:77 INFO  ManageDriver :29 - Launching Chrome Browser
2021-12-14 00:12:879 INFO  AccountPage :45 - click on bank manager login :[[ChromeDriver: chrome on WINDOWS (c05557e21effa63f7155754de8e49c82)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-14 00:12:955 INFO  AccountPage :26 - click on add customer tab :[[ChromeDriver: chrome on WINDOWS (c05557e21effa63f7155754de8e49c82)] -> xpath: //button[@ng-class='btnClass1']]
2021-12-14 00:12:45 INFO  AccountPage :42 - fill first name :[[ChromeDriver: chrome on WINDOWS (c05557e21effa63f7155754de8e49c82)] -> xpath: //input[@placeholder='First Name']]
2021-12-14 00:12:127 INFO  AccountPage :47 - fill last name :[[ChromeDriver: chrome on WINDOWS (c05557e21effa63f7155754de8e49c82)] -> xpath: //input[@placeholder='Last Name']]
2021-12-14 00:12:231 INFO  AccountPage :52 - fill post code :[[ChromeDriver: chrome on WINDOWS (c05557e21effa63f7155754de8e49c82)] -> xpath: //input[@placeholder='Post Code']]
2021-12-14 00:12:298 INFO  AccountPage :58 - add customer button :[[ChromeDriver: chrome on WINDOWS (c05557e21effa63f7155754de8e49c82)] -> xpath: //button[@class='btn btn-default']]
2021-12-14 00:12:314 INFO  AccountPage :63 - verify pop up window and click :
2021-12-14 00:12:412 INFO  AccountPage :42 - clicking on open account :[[ChromeDriver: chrome on WINDOWS (c05557e21effa63f7155754de8e49c82)] -> xpath: //button[@ng-click='openAccount()']]
2021-12-14 00:12:913 INFO  AccountPage :47 - select customer search :[[ChromeDriver: chrome on WINDOWS (c05557e21effa63f7155754de8e49c82)] -> xpath: //select[@id='userSelect']]
2021-12-14 00:12:117 INFO  AccountPage :53 - select currency :[[ChromeDriver: chrome on WINDOWS (c05557e21effa63f7155754de8e49c82)] -> xpath: //select[@id='currency']]
2021-12-14 00:12:194 INFO  AccountPage :59 - clicking on process button :[[ChromeDriver: chrome on WINDOWS (c05557e21effa63f7155754de8e49c82)] -> xpath: //button[@type='submit']]
2021-12-14 00:12:212 INFO  AccountPage :64 - verify pop up window and text :
2021-12-14 00:12:72 INFO  ManageDriver :29 - Launching Chrome Browser
2021-12-14 00:12:944 INFO  AccountPage :45 - click on bank manager login :[[ChromeDriver: chrome on WINDOWS (f0301c536c7501415aa8d5fb341444c6)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-14 00:12:31 INFO  AccountPage :26 - click on add customer tab :[[ChromeDriver: chrome on WINDOWS (f0301c536c7501415aa8d5fb341444c6)] -> xpath: //button[@ng-class='btnClass1']]
2021-12-14 00:12:125 INFO  AccountPage :42 - fill first name :[[ChromeDriver: chrome on WINDOWS (f0301c536c7501415aa8d5fb341444c6)] -> xpath: //input[@placeholder='First Name']]
2021-12-14 00:12:217 INFO  AccountPage :47 - fill last name :[[ChromeDriver: chrome on WINDOWS (f0301c536c7501415aa8d5fb341444c6)] -> xpath: //input[@placeholder='Last Name']]
2021-12-14 00:12:314 INFO  AccountPage :52 - fill post code :[[ChromeDriver: chrome on WINDOWS (f0301c536c7501415aa8d5fb341444c6)] -> xpath: //input[@placeholder='Post Code']]
2021-12-14 00:12:386 INFO  AccountPage :58 - add customer button :[[ChromeDriver: chrome on WINDOWS (f0301c536c7501415aa8d5fb341444c6)] -> xpath: //button[@class='btn btn-default']]
2021-12-14 00:12:397 INFO  AccountPage :63 - verify pop up window and click :
